"city","population","country","lat","lng"
"Ordu",116788,"Turkey",40.9778,37.8905
"Ras al-Khaimah",115949,"United Arab Emirates",25.7895,55.9432
"Siirt",114034,"Turkey",37.9293,41.9413
"Erzincan",114027,"Turkey",39.7392,39.4902
"Alanya",112969,"Turkey",36.5438,31.9998
"Douma",111864,"Syria",33.5718,36.4027
"Quchan",111752,"Iran",37.106,58.5095
"Masjed Soleyman",111510,"Iran",31.9364,49.3039
"Turhal",110884,"Turkey",40.3875,36.0811
"Bandar-e Anzali",110826,"Iran",37.4732,49.4579
"Kufa",110000,"Iraq",32.0511,44.4402
"Sohar",108274,"Oman",24.3475,56.7094
"Bandirma",107631,"Turkey",40.3522,27.9767
"Umm Qasr",107620,"Iraq",30.0362,47.9195
"As Suwayq",107143,"Oman",23.8494,57.4386
"Al Hawamidiyah",106841,"Egypt",29.9,31.25
"Ashkelon",105995,"Israel",31.6693,34.5715
"Jizan",105198,"Saudi Arabia",16.8892,42.5511
"Baneh",104799,"Iran",35.9975,45.8853
"Al Faw",104569,"Iraq",29.9742,48.4731
"Bilqas",103596,"Egypt",31.2145,31.358
"Turgutlu",103292,"Turkey",38.4953,27.6997
"Qurayyat",102903,"Saudi Arabia",31.3318,37.3428
"Disuq",102037,"Egypt",31.1326,30.6478
"Parsabad",101661,"Iran",39.6482,47.9174
"`Ibri",101640,"Oman",23.2257,56.5157
"Mustafakemalpasa",101412,"Turkey",40.0382,28.4087
"Abu Kabir",100684,"Egypt",30.7251,31.6715
"Qalyub",100495,"Egypt",30.1792,31.2056
"Zonguldak",100229,"Turkey",41.4514,31.7931
"Kuhdasht",100208,"Iran",33.5334,47.61
"Jaffa",100000,"Israel",32.0504,34.7522
"Dhahran",99540,"Saudi Arabia",26.2886,50.114
"Manbij",99497,"Syria",36.5281,37.9549
"Akhmim",99446,"Egypt",26.5622,31.745
"Al Matariyah",99357,"Egypt",31.1829,32.0311
"Bam",99268,"Iran",29.106,58.357
"Manavgat",99254,"Turkey",36.7867,31.4431
"Giresun",98864,"Turkey",40.917,38.3874
"Habbouch",98433,"Lebanon",33.4073,35.4817
"Akbarabad",98342,"Iran",29.2464,52.7793
